"База скачана с https://export-base.ru";"Стационарный телефон";"Мобильный телефон";"ИНН";"ОГРН";"Город";"Федеральный округ";"Рубрика";"Подрубрика";"Наличие филиалов";"Координаты(x, y)";"Часовой пояс";
"Банки";"";"";"";"";"";"";"";"";"";"";"";""
"АЛРОСА, компания по добыче алмазов";"+7 (499) 148-46-72";"";"774112423328";"";"Москва";"Центральный федеральный округ";"Юридические / Бизнес / Финансовые услуги";"Банки";"";"55.743 37.523";"Московское время";
"КБ Столичный Кредит";"+7 (495) 229-00-50, +7 (495) 775-24-50, +7 (495) 795-07-60";"";"7718103767";"1027739199927";"Москва";"Центральный федеральный округ";"Юридические / Бизнес / Финансовые услуги";"Банки";"";"55.769 37.679, 55.769 37.679, 55.769 37.679";"Московское время";
"Евразийский банк";"+7 (495) 287-99-66";"";"7721280325, 7727720893";"";"Москва";"Центральный федеральный округ";"Юридические / Бизнес / Финансовые услуги";"Банки";"";"55.747 37.539, 55.747 37.539";"Московское время";
"Негосударственный пенсионный фонд Сбербанка";"+7 (800) 555-50-02, +7 (800) 555-00-41";"";"7725352740";"1147799009160";"Москва";"Центральный федеральный округ";"Юридические / Бизнес / Финансовые услуги";"Банки";"";"55.721 37.610";"Московское время";
"Мир Бизнес Банк";"+7 (495) 646-21-10";"";"7744002363";"1027739669726";"Москва";"Центральный федеральный округ";"Юридические / Бизнес / Финансовые услуги";"Банки";"";"55.764 37.651, 55.764 37.651";"Московское время";
"МультиКарта";"+7 (495) 784-60-55";"";"7710007966";"1027739116404";"Москва";"Центральный федеральный округ";"Юридические / Бизнес / Финансовые услуги";"Банки";"";"55.733 37.665";"Московское время";
"HSBC Банк";"+7 (495) 721-15-15, +7 (495) 258-31-54";"";"7707115538, 7728766795";"";"Москва";"Центральный федеральный округ";"Юридические / Бизнес / Финансовые услуги";"Банки";"";"55.730 37.636, 55.730 37.636";"Московское время";
"Новый Промышленный банк";"+7 (495) 989-47-01, +7 (495) 916-49-23, +7 (495) 917-01-11, +7 (495) 917-16-67";"";"771503071010";"304770000514916";"Москва";"Центральный федеральный округ";"Юридические / Бизнес / Финансовые услуги";"Банки";"";"55.757 37.646";"Московское время";
"ВТБ Лизинг, универсальная лизинговая компания";"+7 (495) 514-16-50, +7 (495) 514-16-51";"";"7709378229";"1037700259244";"Москва";"Центральный федеральный округ";"Юридические / Бизнес / Финансовые услуги";"Банки";"";"55.775 37.617";"Московское время";
"Инвестиционный банк Веста";"+7 (495) 933-07-03, +7 (495) 662-14-02, +7 (495) 775-43-88, +7 (495) 637-80-70, +7 (495) 308-32-03";"";"773178010857";"";"Москва";"Центральный федеральный округ";"Юридические / Бизнес / Финансовые услуги";"Банки";"";"55.721 37.601";"Московское время";
